Unidades de participacao ,Quantidade ,Nominal (Valores unitarios €),Cotacao / preco,Valor de aquisicao,Valor de balanco / justo valor1,Valias liquidas em titulos2,Efeito da contabilidade de cobertura 2,Imparidade
EGP-UNIVERSITY OF PORTO BUS.SCHOOL ASS.,2,4.99,,,70,70,,
FCR-F-HITEC (ES VENTURES) ,500000,1,1.27,500,637,137,,
FCR-PORTUGAL GLOBAL VENTURES I,6269,10,9.95,69,62,1,,8
FCR-PORTUGAL VENTURES GPI,6,25000,19572.43,130,117,1,,14
FCR-PORTUGAL VENTURES TURISMO,164,24939.89,7676.35,3568,1259,,,2309
FCR-PORTUGAL VENTURES VALOR 2,131,3420.24,3485.46,2630,455,10,,2185
FCR-PORTUGAL VENTURES-FIEP,3159,1000000,793.61,3159,2507,121,,773
FCR-PV ACTEC II – CATEGORIA A1,67249,1,0.93,78,63,,,15
FCR-PV ACTEC II – CATEGORIA B1 ,290145,1,0.93,337,270,,,67
FCR-TURISMO INOVACAO CAT.B,12,50000,43974.63,600,528,-72,,-72
Outros Emitidos por nao residentes,,,,,,,,
FUNDO PATHENA SCA SICAR (B),,,0,10140,9 660,-480,,
PORTUGAL VENTURE CAPITAL INITIATIVE-PVCI ,6139383,1,0.82,6139,5055,699,,1784