Investimentos,FCR Empreender+,Descricao,Valor,CS,Nota
Investimentos,Biosurfit,"realizacao da ultima tranche de investimento na Biosurfit, S.A.,",€333,9.40%,
Investimentos,FCR Critical Ventures I: ,,,25%,
Investimentos,"BIPS Around Knowledge - Consultoria Informatica, Lda.",na qualidade de projeto vencedor global na edicao de 2010 do ISCTE-IUL MIT Portugal Venture Competition.,,Aumento Capital,Ver Regulamento e Politica de Investimento 
Investimentos,"Waydip – Energia e Ambiente, Lda.,",na qualidade de projeto vencedor na categoria de Sistemas Sustentaveis nas areas de Energia e Transportes na edicao de 2010 do ISCTE-IUL MIT Portugal Venture Competition.,,Aumento Capital,Ver Regulamento e Politica de Investimento 
Investimentos,"WeAdapt – Inclusive Design and Engineering, Lda., ",na qualidade de projeto vencedor na categoria de Produtos e Servicos na edicao de 2010 do ISCTE-IUL MIT Portugal Venture Competition.,,Aumento Capital,Ver Regulamento e Politica de Investimento 
Investimentos,"Acellera Therapeutics, Lda.",na qualidade de projeto vencedor na categoria de Ciencias da Vida na edicao de 2010 do ISCTE-IUL MIT Portugal Venture Competition.,,,Ver Regulamento e Politica de Investimento 
Investimentos,"Stemmatters - Biotecnologia e Medicina Regenerativa, S.A.",,,Aumento Capital,
Investimentos,"PLUX – Wireless Biosensors, S.A.",,,Aumento Capital,
Investimentos,"Digital Luxury, S.A.",,,reforco do investimento,
Investimentos,"Fotonesga, S.A.","realizacao das ultimas duas tranches de investimento na Fotonesga, S.A. (Smart Cartridge)",,investimento,
Investimentos,"isGreen II, Lda. (isGreen)",na qualidade de projeto vencedor na categoria de Sistemas Sustentaveis nas areas de Energia e Transportes na edicao de 2011 do ISCTE-IUL MIT Portugal Venture Competition.,,participacao no aumento de capital,Ver Regulamento e Politica de Investimento 
Investimentos,"All Desk, Lda. (AllDesk)",na qualidade de projeto vencedor na categoria de Web & IT na edicao de 2011 do ISCTE-IUL MIT Portugal Venture Competition.,,participacao no aumento de capital,Ver Regulamento e Politica de Investimento 
Investimentos,"Noniussoft, S.A. (Nonius)",,,participacao no aumento de capital,
Investimentos,FCR Universitas,,,6%,
Investimentos,FCR ISTart,,,6%,
Desinvestimentos,"Critical Health, S.A.","alienacao de capital social e cessao de creditos (prestacoes acessorias e suprimentos), ",ao valor nominal e pari-passu com o Grupo Critical,,