Denominacao,Sede,Ativo liquido,Capita proprio,Proveitos totais,Resultado liquido do exercicio,Percentagem de participacao,Valor de balanco,Perdas de imparidade,Emprestimos permanentes, Investimento total
Impresa Publishing (a),Lisboa,38254160,26381098,27011129,1789384,100%,35611372,-10149415,26500000,51961957
IOSS (a),Oeiras,15691300,8934431,1265683,96704,99.89%,5942500,-,3745930,9688430
SIC,Oeiras,100349957,24187554,173628982,11853284,100%,239408738,-,-,239408738
Infoportugal,Matosinhos,928868,393972,1819614,39597,100%,2842435,-,-,2842435
Vasp,Cacem,34382369,9123850,207635576,667384,33.33%,1144666,-,-,1144666
Lusa,Lisboa,11606728,4239849,15398919,-754859,22.35%,890732,-,-,890732
Visapress,Lisboa,n.d,n.d,n.d,n.d,10.00%,5,-5,-,-
Nexponor,Porto,n.d,n.d,n.d,n.d,1%,660,-,-,660
Outros,n.d,n.d,n.d,n.d,n.d,n.d,30,-,-,30
,,,,,,,285881158,-10154415,30250000,305976743