,Nao Corrente (30.06.15),Nao Corrente (31.12.14),Corrente (30.06.15),Corrente (31.12.14)
Emprestimo a Globaleda SA,,,103,784
Emprestimo a Powergrid Lda,2050,2050,,
Emprestimo a Bright Innovation Lda,1477,1477,,
Emprestimo SmartGeo Solutions Lda,99,99,,
Emprestimo a Radical Innovation Lda,994,994,,
Emprestimo a Power Data Lda,248,248,,
Emprestimo a City Pulse,2410,1410,,
Emprestimo a Livin Technologies Lda,1492,1492,,
Emprestimos a outros socios/acionistas,,,15,15
Subtotal,8770,7770,118,799
Ajustamentos para emprestimos a partes relacionadas,1360,,,
Total,7410,7770,118,799